施設名,部屋名,都道府県,市区町村,番地以下,URL,分類,最寄駅,最寄駅徒歩[分],面積[㎡],定員[人],利用料(目安),駐車場,ピアノ有無,打楽器貸出,譜面台貸出,予約期間（いつから）,予約期間（いつまで）,備考
100BANスタジオ,,兵庫県,神戸市,,,アンサンブル用,,,,,,,〇,,,,,
西南小会館 かがり火の家,,大阪府,箕面市,半町３丁目１５−４,,アンサンブル用,,,,,,,,×,,,,
7th Note,,大阪府,大阪市北区,中津５丁目２−１１,,アンサンブル用,,,,,,,,,,,,
KOKO PLAZA・大阪市立青少年センター,,大阪府,大阪市,,,アンサンブル用,,,,,,,〇,,,,,
Lesson Studio Poco四条,,京都府,京都市,,,アンサンブル用,,,,,,なし,〇,,,,,
Music Studio CATWALK,,大阪府,,,,アンサンブル用,,,,,,なし,,,,,,
RHY梅田,,大阪府,大阪市,,,アンサンブル用,,,,,,なし,〇,,,,,
Salon de ぷりんしぱる,,大阪府,大阪市西区,土佐堀１丁目６−５,,アンサンブル用,,,,,,なし,〇,×,,,,
STUDIO NECO,,大阪府,,,,アンサンブル用,,,,,,,,,,,,
YOSHUホール,,大阪府,,,,アンサンブル用,,,,,,なし,〇,×,,,,
アトリヱ・松田,,京都府,京都市,,,アンサンブル用,,,,,,,〇,,,,,
スターシャワーの森音楽堂・スピカホール,,兵庫県,佐用町,,,アンサンブル用,,,,,,,〇,,,,,
スマイルズミュージックサロン,,大阪府,大阪市,,,アンサンブル用,大阪メトロ四つ橋線「本町」,5,,,,なし,〇,×,〇,,,
スワンホール,,兵庫県,,,,アンサンブル用,,,,,,,,,,,,
たかいし市民文化会館,,大阪府,高石市,綾園1丁目9-1,,アンサンブル用,南海本線「高石」,1,,,,10台以上,,,,,,
たけまるホール,,奈良県,生駒市,,,アンサンブル用,,,,,,,〇,×,,,,
ヒビキミュージックサロン リーヴズ,,大阪府,,,,アンサンブル用,,,,,,,〇,×,〇,,,
ピフレホール,,兵庫県,神戸市長田区,,,アンサンブル用,,,,,,,,,,,,
フィガロホール,,滋賀県,大津市,,,アンサンブル用,,,,,,,,,,,,
プチエル,,大阪府,大阪市,,,アンサンブル用,,,,,,,〇,,,,,
フルート・アンシャンテ,,兵庫県,神戸市,,,アンサンブル用,,,,,,,〇,,,,,
フレンテ西宮,,兵庫県,西宮市,,,アンサンブル用,,,,,,,,,,,,
ベル 音楽サロン,,大阪府,,,,アンサンブル用,,,,,,,,,,,,
まつむし音楽堂,,大阪府,大阪市,,,アンサンブル用,,,,,,,,,,,,
ムジークシューレ大阪,,大阪府,大阪市,,,アンサンブル用,,,,,,,〇,,,,,
ラ カンパネラ (La Campanella),,大阪府,大阪市,,,アンサンブル用,,,,,,,〇,,,,,
ライティホール,,大阪府,東大阪市,,,アンサンブル用,,,,,,5,〇,,,,,
旭堂楽器店,,京都府,京都市,,,アンサンブル用,,,,,,,,,,,,
塩瀬公民館,,兵庫県,,,,アンサンブル用,,,,,,,,,,,,
京都芸術センター,,京都府,京都市,,,アンサンブル用,,,,,,,,,,,,
江坂シャロームホール,,大阪府,大阪市,,,アンサンブル用,,,,,,,,,,,,
秋篠音楽堂,,奈良県,,,,アンサンブル用,,,,,,,,,,,,
瀬楽スタジオ,,大阪府,大阪市,,,アンサンブル用,,,,,,なし,〇,〇,〇,,,
生駒市コミュニティセンター,,奈良県,生駒市,,,アンサンブル用,,,,,,,,,,,,
西宮市甲東ホール,,兵庫県,,,,アンサンブル用,,,,,,,,,,,,
大阪市立芸術創造館,,大阪府,,,,アンサンブル用,,,,,,,,,,,,
大阪城音楽堂リハーサル室,,大阪府,,,,アンサンブル用,,,,,,,,,,,,
島村楽器 梅田ロフト店,,大阪府,,,,アンサンブル用,,,,,,なし,,,,,,
難波市民学習センター,,大阪府,,,,アンサンブル用,,,,,,,,,,,,
米原市民交流プラザ・ルッチプラザ,,滋賀県,,,,アンサンブル用,,,,,,,,,,,,
豊中市立蛍池公民館,,大阪府,,,,アンサンブル用,,,,,,,,,,,,
鳴尾公民館,,兵庫県,,,,アンサンブル用,,,,,,,,,,,,
アイホール,,兵庫県,,,,オーケストラ用,,,,,,,,,,,,
アゼリア大正ホール・スタジオ,,大阪府,,,,オーケストラ用,,,,,,,,,,,,
アルカスホール,,大阪府,,,,オーケストラ用,,,,,,,,,,,,
きららホール,,,,,,オーケストラ用,,,,,,,,,,,,
クレオ大阪中央・市立男女共同参画センター 中央館,,大阪府,,,,オーケストラ用,,,,,,,,,,,,
クレオ大阪東 市立男女共同参画センター 東部館,,大阪府,,,,オーケストラ用,,,,,,,,,,,,
クレオ大阪南・市立男女共同参画センター 南部館,,大阪府,,,,オーケストラ用,,,,,,,,,,,,
コミュニティプラザ平野（平野区民センター）,,大阪府,大阪市平野区,長吉出戸５丁目３−５８,,オーケストラ用,,,,,,,,,,,,
サンシビック 尼崎,,兵庫県,尼崎市,西御園町93−２,,オーケストラ用,,,,,,,,,,,,
すみのえ舞昆ホール（住之江区民ホール）,,大阪府,,,,オーケストラ用,,,,,,,,,,,,
ハーティホール,,兵庫県,,,,オーケストラ用,,,,,,,,,,,,
ピッコロシアター,,兵庫県,尼崎市,南塚口町３丁目１７−８,,オーケストラ用,,,,,,,〇,×,,,,
フィッシュダンス音楽練習場,,兵庫県,,,,オーケストラ用,,,,,,,,,,,,
ふたば学舎,,兵庫県,,,,オーケストラ用,,,,,,,,,,,,
ベアティホール,,京都府,向日市,寺戸町七ノ坪１３９,,オーケストラ用,,,,,,,,,,,,
みのおサンプラザ,,大阪府,,,,オーケストラ用,,,,,,,,,,,,
らいとぴあ２１(箕面市立萱野中央人権文化センター),,大阪府,,,,オーケストラ用,,,,,,,,,,,,
阿倍野区民センター,,大阪府,大阪市阿倍野区,,,オーケストラ用,,,,,,,,,,,,
伊丹市 生涯学習センター・ラスタホール,,兵庫県,,,,オーケストラ用,,,,,,,,,,,,
京都市右京ふれあい文化会館,,京都府,京都市右京区,,,オーケストラ用,,,,,,,,,,,,
京都市呉竹文化センター,,京都府,,,,オーケストラ用,,,,,,,,,,,,
京都市西文化会館ウエスティ,,京都府,,,,オーケストラ用,,,,,,,,,,,,
京都市東部文化会館,,京都府,,,,オーケストラ用,,,,,,,,,,,,
京都市北文化会館,,京都府,,,,オーケストラ用,,,,,,,,,,,,
港区民センター,,大阪府,大阪市港区,,,オーケストラ用,,,,,,,,,,,,
此花区民ホール,,大阪府,大阪市此花区,,,オーケストラ用,,,,,,,,,,,,
市立こども文化センター,,大阪府,,,,オーケストラ用,,,,,,,,,,,,
市立葺合文化センター大ホール,,兵庫県,,,,オーケストラ用,,,,,,,,,,,,
住吉区民センター,,大阪府,大阪市住吉区,,,オーケストラ用,,,,,,,,,,,,
城東区民センター,,大阪府,大阪市城東区,,,オーケストラ用,,,,,,,,,,,,
神戸アートビレッジセンター,,大阪府,,,,オーケストラ用,,,,,,,,,,,,
吹田市立千里丘市民センター,,大阪府,吹田市,,,オーケストラ用,,,,,,,,,,,,
吹田市立豊一市民センター,,大阪府,吹田市,,,オーケストラ用,,,,,,,,,,,,
西宮市勤労会館,,兵庫県,西宮市,,,オーケストラ用,,,,,,,,,,,,
西宮市立中央公民館,,兵庫県,西宮市,,,オーケストラ用,,,,,,,,,,,,
西成区民センター,,大阪府,大阪市西成区,,,オーケストラ用,,,,,,,,,,,,
西淀川区民ホール,,大阪府,大阪市西淀川区,,,オーケストラ用,,,,,,,,,,,,
西淀川区民会館,,大阪府,大阪市西淀川区,,,オーケストラ用,,,,,,,,,,,,
摂津市民文化ホール（くすのきホール）,,大阪府,摂津市,,,オーケストラ用,,,,,,,,,,,,
千里山コミュニティセンター,,大阪府,,,,オーケストラ用,,,,,,,,,,,,
大阪フィルハーモニー会館,,大阪府,大阪市西成区,,,オーケストラ用,,,,,,,〇,,〇,,,
大阪市 北区民センター,,大阪府,大阪市北区,,,オーケストラ用,,,,,,,,,,,,
大阪市中央区民センター,,大阪府,大阪市中央区,,,オーケストラ用,,,,,,,,,,,,
大阪市立 東成区民センター,,大阪府,大阪市東成区,,,オーケストラ用,,,,,,,,,,,,
大阪市立西区民センター,,大阪府,大阪市西区,,,オーケストラ用,,,,,,,,,,,,
大阪市立都島区民センター,,大阪府,大阪市都島区,,,オーケストラ用,,,,,,,,,,,,
大阪市立淀川区民センター,,大阪府,大阪市淀川区,,,オーケストラ用,,,,,,,,,,,,
大阪府立男女共同参画・青少年センター（ドーンセンター）,,大阪府,,,,オーケストラ用,,,,,,,,,,,,
大正会館,,大阪府,大阪市大正区,,,オーケストラ用,,,,,,,,,,,,
大淀コミュニティセンター,,大阪府,,,,オーケストラ用,,,,,,,,,,,,
東住吉区民ホール,,大阪府,大阪市東住吉区,,,オーケストラ用,,,,,,,,,,,,
尼崎市女性センター ・トレピエ,,兵庫県,尼崎市,,,オーケストラ用,,,,,,なし,,,,,,
尼崎市立　小田南生涯学習プラザ,,兵庫県,尼崎市,,,オーケストラ用,,,,,,,,,,,,
尼崎市立　小田北生涯学習プラザ,,兵庫県,尼崎市,,,オーケストラ用,,,,,,,,,,,,
尼崎市立　立花北生涯学習プラザ,,兵庫県,尼崎市,,,オーケストラ用,,,,,,,,,,,,
福島区民センター,,大阪府,大阪市福島区,吉野３丁目１７−２３,,オーケストラ用,,,,,,,,,,,,
平野区民ホール,,大阪府,大阪市平野区,平野南１丁目２−７,,オーケストラ用,,,,,,,,,,,,
北出音楽事務所,,大阪府,大阪市城東区,中央１丁目６−２１,,オーケストラ用,,,,,,なし,〇,〇,×,,,
堀江アルテ (~'20/05/31),,大阪府,,,,オーケストラ用,,,,,,なし,〇,〇,〇,,,
木津川市加茂文化センター（あじさいホール）,,京都府,木津川市加茂町,里南古田１５６,,オーケストラ用,,,,,,,,,,,,
門真市立文化会館,,大阪府,門真市,中町２−３,,オーケストラ用,,,,,,,,,,,,
六甲道勤労市民センター,,兵庫県,神戸市灘区,深田町４丁目１−３９,,オーケストラ用,,,,,,,,×,,,,