施設名,部屋名,都道府県,市区町村,番地以下,URL,分類,最寄駅路線,最寄駅,最寄駅徒歩[分],面積[㎡],定員[人],利用料(目安),駐車場,ピアノ有無,打楽器貸出,譜面台貸出,予約期間（いつから）,予約期間（いつまで）,経度,緯度,備考
100BANスタジオ,,兵庫県,神戸市,,,アンサンブル用,,,,,,,,〇,,,,,135.194503,34.688853,
西南小会館 かがり火の家,,大阪府,箕面市,半町３丁目１５−４,,アンサンブル用,,,,,,,なし,,×,,,,135.457194,34.813715,
7th Note,,大阪府,大阪市北区,中津５丁目２−１１,,アンサンブル用,,,,,,,,,,,,,135.491521,34.705578,
KOKO PLAZA・大阪市立青少年センター,,大阪府,大阪市,,,アンサンブル用,,,,,,,,〇,,,,,135.50367,34.732078,
Lesson Studio Poco四条,,京都府,京都市,,,アンサンブル用,,,,,,,なし,〇,,,,,135.7579304,35.006023,
Music Studio CATWALK,,大阪府,大阪市,,,アンサンブル用,,,,,,,なし,,,,,,135.498076,34.729967,
RHY梅田,,大阪府,大阪市,,,アンサンブル用,,,,,,,なし,〇,,,,,135.4990907,34.6988169,
Salon de ぷりんしぱる,,大阪府,大阪市西区,土佐堀1丁目6-5,,アンサンブル用,,,,,,,なし,〇,×,,,,135.4927716,34.6904629,
STUDIO NECO,,大阪府,大阪市,,,アンサンブル用,,,,,,,,,,,,,135.4882218,34.6966233,
YOSHUホール,,大阪府,大阪市中央区,,,アンサンブル用,,,,,,,なし,〇,×,,,,135.510018,34.676106,
アトリヱ・松田,,京都府,京都市,,,アンサンブル用,,,,,,,,〇,,,,,135.7915687,35.0485271,
スターシャワーの森音楽堂・スピカホール,,兵庫県,佐用町,,,アンサンブル用,,,,,,,,〇,,,,,134.3412824,35.0197828,
スマイルズミュージックサロン,,大阪府,大阪市,,,アンサンブル用,大阪メトロ四つ橋線,本町,5,,,,なし,〇,×,〇,,,135.49613,34.680145,
スワンホール,,兵庫県,,,,アンサンブル用,,,,,,,,,,,,,135.3968797,34.7857847,
たかいし市民文化会館,,大阪府,高石市,綾園1丁目9-1,,アンサンブル用,南海本線,高石,1,,,,10台以上,,,,,,135.43402,34.521289,
たけまるホール,,奈良県,生駒市,,,アンサンブル用,,,,,,,,〇,×,,,,135.6967449,34.6939624,
ヒビキミュージックサロン リーヴズ,,大阪府,大阪市,,,アンサンブル用,,,,,,,,〇,×,〇,,,135.5087255,34.6944839,
ピフレホール,,兵庫県,神戸市長田区,,,アンサンブル用,,,,,,,,,,,,,135.1456711,34.6568508,
フィガロホール,,滋賀県,大津市,,,アンサンブル用,,,,,,,,,,,,,135.894056,34.9915559,
プチエル,,大阪府,大阪市,,,アンサンブル用,,,,,,,なし,〇,,,,,135.5129668,34.6899448,
フルート・アンシャンテ,,兵庫県,神戸市,,,アンサンブル用,,,,,,,,〇,,,,,135.2681585,34.6891397,
フレンテ西宮,,兵庫県,西宮市,,,アンサンブル用,,,,,,,,,,,,,135.348491,34.738158,
ベル 音楽サロン,,大阪府,大阪市,,,アンサンブル用,,,,,,,,,,,,,135.5074405,34.6293529,
まつむし音楽堂,,大阪府,大阪市,,,アンサンブル用,,,,,,,なし,,,,,,135.5100954,34.6361022,
ムジークシューレ大阪,,大阪府,大阪市,,,アンサンブル用,,,,,,,,〇,,,,,135.5127105,34.6831773,
ラ カンパネラ (La Campanella),,大阪府,大阪市,,,アンサンブル用,,,,,,,なし,〇,,,,,135.5137698,34.686216,
ライティホール,,大阪府,東大阪市,,,アンサンブル用,,,,,,,5,〇,,,,,135.600891,34.6810861,
旭堂楽器店,,京都府,京都市,,,アンサンブル用,,,,,,,,,,,,,135.7675127,35.0154332,
塩瀬公民館,,兵庫県,,,,アンサンブル用,,,,,,,,,,,,,135.307579,34.826319,
京都芸術センター,,京都府,京都市,,,アンサンブル用,,,,,,,,,,,,,135.758345,35.005436,
江坂シャロームホール,,大阪府,大阪市,,,アンサンブル用,,,,,,,なし,,,,,,135.4964887,34.7566924,
秋篠音楽堂,,奈良県,,,,アンサンブル用,,,,,,,,,,,,,135.7852128,34.6951079,
瀬楽スタジオ,,大阪府,大阪市,,,アンサンブル用,,,,,,,なし,〇,〇,〇,,,135.4914043,34.646782,
生駒市コミュニティセンター,,奈良県,生駒市,,,アンサンブル用,,,,,,,,,,,,,135.698806,34.692121,
西宮市甲東ホール,,兵庫県,,,,アンサンブル用,,,,,,,,,,,,,135.359435,34.767241,
大阪市立芸術創造館,,大阪府,,,,アンサンブル用,,,,,,,,,,,,,135.5426233,34.721173,
大阪城音楽堂リハーサル室,,大阪府,,,,アンサンブル用,,,,,,,,,,,,,135.530568,34.682704,
島村楽器 梅田ロフト店,,大阪府,,,,アンサンブル用,,,,,,,なし,,,,,,135.4999315,34.7079777,
難波市民学習センター,,大阪府,,,,アンサンブル用,,,,,,,,,,,,,135.4954773,34.6667446,
米原市民交流プラザ・ルッチプラザ,,滋賀県,,,,アンサンブル用,,,,,,,,,,,,,136.367639,35.364501,
豊中市立蛍池公民館,,大阪府,豊中市,螢池中町1丁目2−1,,アンサンブル用,,,,,,,,,,,,,135.448929,34.794125,
鳴尾公民館,,兵庫県,西宮市,鳴尾町1丁目8−2,,アンサンブル用,,,,,,,2,,,,,,135.371727,34.717926,
アイホール,,兵庫県,伊丹市,伊丹2丁目4−1,,オーケストラ用,,,,,,,,,,,,,135.4204165,34.7806139,
アゼリア大正ホール・スタジオ,,大阪府,大阪市大正区,小林東3丁目3−25,,オーケストラ用,,,,,,,,,,,,,135.472289,34.647268,
アルカスホール,,大阪府,寝屋川市,早子町12−21,,オーケストラ用,,,,,,,,,,,,,135.6229776,34.7639596,
きららホール,,兵庫県,伊丹市,北野4丁目30,,オーケストラ用,,,,,,,,,,,,,135.3882861,34.8027238,
クレオ大阪中央・市立男女共同参画センター 中央館,,大阪府,大阪市天王寺区,上汐5-6-25,,オーケストラ用,,,,,,,,,,,,,135.515556,34.659825,
クレオ大阪東 市立男女共同参画センター 東部館,,大阪府,大阪市城東区,鴫野西2丁目1−21,,オーケストラ用,,,,,,,,,,,,,135.5364169,34.6913704,
クレオ大阪南・市立男女共同参画センター 南部館,,大阪府,大阪市平野区,喜連西6丁目2−33,,オーケストラ用,,,,,,,,,,,,,135.54841,34.610656,
コミュニティプラザ平野（平野区民センター）,,大阪府,大阪市平野区,長吉出戸5丁目3−58,,オーケストラ用,,,,,,,,,,,,,135.569867,34.608862,
サンシビック 尼崎,,兵庫県,尼崎市,西御園町93−２,,オーケストラ用,,,,,,,,〇,×,×,,,135.4130726,34.7188769,
すみのえ舞昆ホール（住之江区民ホール）,,大阪府,大阪市住之江区,御崎3丁目1−17,,オーケストラ用,,,,,,,,,,,,,135.4826294,34.6096056,
ハーティホール,,兵庫県,尼崎市,南塚口町4丁目4−8,,オーケストラ用,,,,,,,,,,,,,135.4192278,34.7463295,
ピッコロシアター,,兵庫県,尼崎市,南塚口町3丁目17−8,,オーケストラ用,,,,,,,,〇,×,,,,135.4217982,34.7503685,
フィッシュダンス音楽練習場,,兵庫県,神戸市中央区,波止場町2−8,,オーケストラ用,,,,,,,,,,,,,135.189616,34.6845407,
ふたば学舎,,兵庫県,神戸市長田区,二葉町7丁目1−18,,オーケストラ用,,,,,,,,,,,,,135.1456111,34.6517317,
ベアティホール,,京都府,向日市,寺戸町七ノ坪139,,オーケストラ用,,,,,,,,,,,,,135.703668,34.9613259,
みのおサンプラザ,,大阪府,箕面市,箕面6丁目3−1,,オーケストラ用,,,,,,,,〇,,,,,135.4698126,34.8343942,
らいとぴあ２１(箕面市立萱野中央人権文化センター),,大阪府,箕面市,萱野1丁目19−4,,オーケストラ用,,,,,,,,,,,,,135.4836564,34.8308333,
阿倍野区民センター,,大阪府,大阪市阿倍野区,阿倍野筋4丁目19−118,,オーケストラ用,,,,,,,,,,,,,135.5105578,34.6410063,
伊丹市 生涯学習センター・ラスタホール,,兵庫県,伊丹市,南野2丁目3−25,,オーケストラ用,,,,,,,,,,,,,135.408636,34.765969,
京都市右京ふれあい文化会館,,京都府,京都市右京区,太秦安井西裏町6,,オーケストラ用,,,,,,,,〇,,,,,135.717261,35.016757,
京都市呉竹文化センター,,京都府,京都市伏見区,京町南35−1,,オーケストラ用,,,,,,,,〇,,,,,135.764646,34.938349,
京都市西文化会館ウエスティ,,京都府,京都市西京区,上桂森下町31番地の1,,オーケストラ用,,,,,,,,〇,,,,,135.694183,34.98494,
京都市東部文化会館,,京都府,京都市山科区,椥辻西浦町1−8,,オーケストラ用,,,,,,,,〇,,,,,135.8140442,34.9764216,
京都市北文化会館,,京都府,京都市北区,小山北上総町49−2,,オーケストラ用,,,,,,,,〇,,,,,135.7586711,35.0457424,
港区民センター,,大阪府,大阪市港区,弁天2丁目1−5,,オーケストラ用,,,,,,,,,,,,,135.458853,34.667742,
此花区民ホール,,大阪府,大阪市此花区,四貫島1丁目1−18,,オーケストラ用,,,,,,,,,,,,,135.457111,34.685912,
大阪市立こども文化センター,,大阪府,大阪市此花区,西九条6丁目1−20,,オーケストラ用,,,,,,,,,,,,,135.4633217,34.6818326,
神戸市立葺合文化センター大ホール,,兵庫県,神戸市中央区,旗塚通4-4-1,,オーケストラ用,,,,,,,,,,,,,135.2016658,34.7043502,
住吉区民センター,,大阪府,大阪市住吉区,南住吉3丁目15−56,,オーケストラ用,,,,,,,,,,,,,135.5008154,34.6041363,
城東区民センター,,大阪府,大阪市城東区,中央3丁目5−45,,オーケストラ用,,,,,,,,,,,,,135.5444328,34.703266,
神戸アートビレッジセンター,,兵庫県,神戸市兵庫区,新開地5丁目3−14,,オーケストラ用,,,,,,,,,,,,,135.1735375,34.6762473,
吹田市立　千里丘市民センター,,大阪府,吹田市,千里丘上14−37,,オーケストラ用,,,,,,,,,,,,,135.551209,34.79524,
吹田市立　豊一市民センター,,大阪府,吹田市,垂水町1丁目53−7,,オーケストラ用,,,,,,,,,,,,,135.4995975,34.7649321,
西宮市勤労会館,,兵庫県,西宮市,松原町2−37,,オーケストラ用,,,,,,,,,,,,,135.345064,34.7362439,
西宮市立　中央公民館,,兵庫県,西宮市,高松町4−8,,オーケストラ用,,,,,,,,,,,,,135.356985,34.743866,
大阪市立　西成区民センター,,大阪府,大阪市西成区,岸里1丁目1−50,,オーケストラ用,,,,,,,,,,,,,135.4948247,34.6344518,
西淀川区民ホール,,大阪府,大阪市西淀川区,御幣島3丁目13−3,,オーケストラ用,,,,,,,,,,,,,135.458358,34.71812,
西淀川区民会館,,大阪府,大阪市西淀川区,大和田2丁目5−7,,オーケストラ用,,,,,,,,,,,,,135.442715,34.702985,
摂津市民文化ホール（くすのきホール）,,大阪府,摂津市,香露園32−16,,オーケストラ用,,,,,,,,,,,,,135.5565242,34.7856763,
千里山コミュニティセンター,,大阪府,吹田市,千里山霧が丘22番1号,,オーケストラ用,,,,,,,,,,,,,135.5060504,34.7790437,
大阪フィルハーモニー会館,,大阪府,大阪市西成区,岸里1丁目1−44,,オーケストラ用,,,,,,,,〇,,〇,,,135.4954419,34.6346767,
大阪市立　北区民センター,,大阪府,大阪市北区,扇町2丁目1−27,,オーケストラ用,,,,,,,,,,,,,135.5104582,34.7053795,
大阪市立　中央区民センター,,大阪府,大阪市中央区,久太郎町1丁目2−27,,オーケストラ用,,,,,,,,,,,,,135.5098402,34.6811529,
大阪市立　東成区民センター,,大阪府,大阪市東成区,大今里西3丁目2−17,,オーケストラ用,,,,,,,,,,,,,135.541415,34.668088,
大阪市立　西区民センター,,大阪府,大阪市西区,北堀江4丁目2−7,,オーケストラ用,,,,,,,,,,,,,135.486503,34.67477,
大阪市立　都島区民センター,,大阪府,大阪市都島区,中野町2丁目16−25,,オーケストラ用,,,,,,,,,,,,,135.5282001,34.700905,
大阪市立　淀川区民センター,,大阪府,大阪市淀川区,野中南2丁目1−5,,オーケストラ用,,,,,,,,,,,,,135.4829018,34.7253876,
大阪府立男女共同参画・青少年センター（ドーンセンター）,,大阪府,大阪市中央区,大手前1丁目3−49,,オーケストラ用,,,,,,,,,,,,,135.5206395,34.6898395,
大正会館,,大阪府,大阪市大正区,千島2丁目6−15,,オーケストラ用,,,,,,,,,,,,,135.4721808,34.6509038,
大淀コミュニティセンター,,大阪府,大阪市北区,本庄東３丁目８−２,,オーケストラ用,,,,,,,,,,,,,135.508517,34.7158298,
東住吉区民ホール,,大阪府,大阪市東住吉区,東田辺１丁目１３−４,,オーケストラ用,,,,,,,,,,,,,135.5266119,34.6221184,
尼崎市女性センター ・トレピエ,,兵庫県,尼崎市,南武庫之荘３丁目３６−１,,オーケストラ用,,,,,,,なし,,,,,,135.3929654,34.7490092,
尼崎市立　小田南生涯学習プラザ,,兵庫県,尼崎市,長洲本通１丁目１５−３８,,オーケストラ用,,,,,,,,,,,,,135.430501,34.727727,
尼崎市立　小田北生涯学習プラザ,,兵庫県,尼崎市,潮江１丁目１１−１,,オーケストラ用,,,,,,,,,,,,,135.4338248,34.7330103,
尼崎市立　立花北生涯学習プラザ,,兵庫県,尼崎市,塚口３丁目３９−７,,オーケストラ用,,,,,,,,,,,,,135.4113275,34.7559627,
大阪市立　福島区民センター,,大阪府,大阪市福島区,吉野３丁目１７−２３,,オーケストラ用,,,,,,,,,,,,,135.473107,34.691534,
大阪市立　平野区民ホール,,大阪府,大阪市平野区,平野南１丁目２−７,,オーケストラ用,,,,,,,,,,,,,135.558232,34.620402,
北出音楽事務所,,大阪府,大阪市城東区,中央１丁目６−２１,,オーケストラ用,,,,,,,なし,〇,〇,×,,,135.5436312,34.7014153,
堀江アルテ (~'20/05/31),,大阪府,大阪市西区,北堀江１丁目１８−１７,,オーケストラ用,,,,,,,なし,〇,〇,〇,,,135.4948166,34.6748267,
木津川市加茂文化センター（あじさいホール）,,京都府,木津川市加茂町,里南古田１５６,,オーケストラ用,,,,,,,,,,,,,135.8660293,34.7513431,
門真市立文化会館,,大阪府,門真市,中町２−３,,オーケストラ用,,,,,,,,,,,,,135.586974,34.740226,
六甲道勤労市民センター,,兵庫県,神戸市灘区,深田町1丁目1−39３９,,オーケストラ用,,,,,,,,,×,,,,135.2390755,34.7147953,